Date,XRP,BTC,ETH,DXY,GOLD,COPPER,NASDAQ,SILVER,TSLA,Gold_Copper_Ratio,Fear_Greed
2023-02-15,0.4013519883155823,24307.841796875,1673.7459716796875,103.91999816894531,1834.199951171875,4.052000045776367,12070.58984375,19.889999389648438,214.24000549316406,452.6653332799853,53.0
2023-02-16,0.3851569890975952,23623.474609375,1640.067626953125,103.86000061035156,1842.0,4.165500164031982,11855.830078125,19.84000015258789,202.0399932861328,442.2037996553677,62.0
2023-02-17,0.3953019976615906,24565.6015625,1694.7833251953125,103.86000061035156,1840.4000244140625,4.113999843597412,11787.26953125,20.010000228881836,208.30999755859375,447.3505333934963,61.0
2023-02-18,0.3946300148963928,24641.27734375,1691.8194580078125,103.86000061035156,1840.4000244140625,4.113999843597412,11787.26953125,20.010000228881836,208.30999755859375,447.3505333934963,60.0
2023-02-19,0.38631701469421387,24327.642578125,1681.4361572265625,103.86000061035156,1840.4000244140625,4.113999843597412,11787.26953125,20.010000228881836,208.30999755859375,447.3505333934963,60.0
2023-02-20,0.3985249996185303,24829.1484375,1702.6751708984375,103.86000061035156,1840.4000244140625,4.113999843597412,11787.26953125,20.010000228881836,208.30999755859375,447.3505333934963,58.0
2023-02-21,0.3919050097465515,24436.353515625,1658.036376953125,104.18000030517578,1833.0,4.234499931335449,11492.2998046875,20.06999969482422,197.3699951171875,432.87283734160326,60.0
2023-02-22,0.3955860137939453,24188.84375,1643.231689453125,104.58999633789062,1832.0,4.202499866485596,11507.0703125,19.75,200.86000061035156,435.9310073059057,59.0
2023-02-23,0.38912999629974365,23947.4921875,1651.0738525390625,104.5999984741211,1818.0,4.072999954223633,11590.400390625,19.6299991607666,202.07000732421875,446.3540438086095,56.0
2023-02-24,0.37847700715065,23198.126953125,1608.3731689453125,105.20999908447266,1808.800048828125,3.9549999237060547,11394.9404296875,19.09000015258789,196.8800048828125,457.3451539117045,53.0
2023-02-25,0.3780849874019623,23175.375,1594.9149169921875,105.20999908447266,1808.800048828125,3.9549999237060547,11394.9404296875,19.09000015258789,196.8800048828125,457.3451539117045,52.0
2023-02-26,0.37804099917411804,23561.212890625,1640.817138671875,105.20999908447266,1808.800048828125,3.9549999237060547,11394.9404296875,19.09000015258789,196.8800048828125,457.3451539117045,51.0
2023-02-27,0.3791149854660034,23522.87109375,1634.326416015625,104.66999816894531,1817.0,4.008999824523926,11466.98046875,18.93000030517578,207.6300048828125,453.23025181617993,50.0
2023-02-28,0.3771499991416931,23147.353515625,1605.8951416015625,104.87000274658203,1828.9000244140625,4.097499847412109,11455.5400390625,19.219999313354492,205.7100067138672,446.34535509968487,53.0
2023-03-01,0.38387900590896606,23646.55078125,1663.4337158203125,104.4800033569336,1837.699951171875,4.168000221252441,11379.48046875,19.290000915527344,202.77000427246094,440.9068746689426,50.0
2023-03-02,0.3775799870491028,23475.466796875,1647.3193359375,105.02999877929688,1833.5,4.084000110626221,11462.98046875,19.239999771118164,190.89999389648438,448.94709851485777,51.0
2023-03-03,0.3776710033416748,22362.6796875,1569.1676025390625,104.5199966430664,1847.699951171875,4.078000068664551,11689.009765625,19.549999237060547,197.7899932861328,453.08973027480926,50.0
2023-03-04,0.3738130033016205,22353.349609375,1566.9239501953125,104.5199966430664,1847.699951171875,4.078000068664551,11689.009765625,19.549999237060547,197.7899932861328,453.08973027480926,50.0
2023-03-05,0.3671939969062805,22435.513671875,1564.46875,104.5199966430664,1847.699951171875,4.078000068664551,11689.009765625,19.549999237060547,197.7899932861328,453.08973027480926,47.0
2023-03-06,0.3704710006713867,22429.7578125,1567.398681640625,104.3499984741211,1847.9000244140625,4.100500106811523,11675.740234375,19.31999969482422,193.80999755859375,450.65235368350153,48.0
2023-03-07,0.38054800033569336,22219.76953125,1561.93310546875,105.62000274658203,1813.9000244140625,3.9865000247955322,11530.330078125,18.450000762939453,187.7100067138672,455.01066427488547,49.0
2023-03-08,0.3891879916191101,21718.080078125,1534.0882568359375,105.66000366210938,1812.699951171875,4.041500091552734,11576.0,18.399999618530273,182.0,448.5215662770009,50.0
2023-03-09,0.37213000655174255,20363.021484375,1438.6607666015625,105.30999755859375,1829.300048828125,4.054500102996826,11338.349609375,18.440000534057617,172.9199981689453,451.1777043675554,44.0
2023-03-10,0.37062200903892517,20187.244140625,1429.1580810546875,104.58000183105469,1862.0,4.045499801635742,11138.8896484375,18.860000610351562,173.44000244140625,460.2645139785017,34.0
2023-03-11,0.3668319880962372,20632.41015625,1482.61669921875,104.58000183105469,1862.0,4.045499801635742,11138.8896484375,18.860000610351562,173.44000244140625,460.2645139785017,33.0
2023-03-12,0.37331798672676086,22163.94921875,1590.29296875,104.58000183105469,1862.0,4.045499801635742,11138.8896484375,18.860000610351562,173.44000244140625,460.2645139785017,33.0
2023-03-13,0.37378600239753723,24197.533203125,1680.3089599609375,103.5999984741211,1911.699951171875,4.069499969482422,11188.83984375,20.0,174.47999572753906,469.76286165570707,49.0
2023-03-14,0.3742789924144745,24746.07421875,1703.507080078125,103.5999984741211,1906.199951171875,4.010499954223633,11428.150390625,19.889999389648438,183.25999450683594,475.30232463021787,56.0
2023-03-15,0.36055800318717957,24375.9609375,1656.1805419921875,104.6500015258789,1926.5999755859375,3.8564999103546143,11434.0498046875,20.0,180.4499969482422,499.5721561961043,50.0
2023-03-16,0.36602500081062317,25052.7890625,1677.2154541015625,104.41999816894531,1919.0,3.885499954223633,11717.2802734375,19.920000076293945,184.1300048828125,493.8875363810004,52.0
2023-03-17,0.3803820013999939,27423.9296875,1792.485107421875,103.70999908447266,1969.800048828125,3.9135000705718994,11630.509765625,20.6299991607666,180.1300048828125,503.33461436229595,51.0
2023-03-18,0.3744330108165741,26965.87890625,1761.65966796875,103.70999908447266,1969.800048828125,3.9135000705718994,11630.509765625,20.6299991607666,180.1300048828125,503.33461436229595,64.0
2023-03-19,0.3884649872779846,28038.67578125,1785.5765380859375,103.70999908447266,1969.800048828125,3.9135000705718994,11630.509765625,20.6299991607666,180.1300048828125,503.33461436229595,63.0
2023-03-20,0.3746280074119568,27767.236328125,1735.3212890625,103.27999877929688,1979.199951171875,3.9755001068115234,11675.5400390625,20.690000534057617,183.25,497.84930147046475,66.0
2023-03-21,0.46970999240875244,28175.81640625,1806.7607421875,103.26000213623047,1938.0,4.018499851226807,11860.1103515625,20.540000915527344,197.5800018310547,482.26952140071586,68.0
2023-03-22,0.4224799871444702,27307.4375,1737.717041015625,102.3499984741211,1946.800048828125,4.06850004196167,11669.9599609375,21.100000381469727,191.14999389648438,478.50559880772545,62.0
2023-03-23,0.44484999775886536,28333.97265625,1816.4051513671875,102.52999877929688,1993.800048828125,4.145999908447266,11787.400390625,21.280000686645508,192.22000122070312,480.8972727582212,57.0
2023-03-24,0.42590200901031494,27493.28515625,1752.0447998046875,103.12000274658203,1982.0999755859375,4.101500034332275,11823.9599609375,21.219999313354492,190.41000366210938,483.26221114091095,61.0
2023-03-25,0.4447160065174103,27494.70703125,1743.7647705078125,103.12000274658203,1982.0999755859375,4.101500034332275,11823.9599609375,21.219999313354492,190.41000366210938,483.26221114091095,64.0
2023-03-26,0.44881701469421387,27994.330078125,1775.6767578125,103.12000274658203,1982.0999755859375,4.101500034332275,11823.9599609375,21.219999313354492,190.41000366210938,483.26221114091095,64.0
2023-03-27,0.47999098896980286,27139.888671875,1715.4608154296875,102.86000061035156,1952.4000244140625,4.104499816894531,11768.83984375,21.219999313354492,191.80999755859375,475.6730689517366,64.0
2023-03-28,0.5150579810142517,27268.130859375,1772.78564453125,102.43000030517578,1972.4000244140625,4.111999988555908,11716.080078125,21.43000030517578,189.19000244140625,479.66926797262687,59.0
2023-03-29,0.5435770153999329,28348.44140625,1793.0018310546875,102.63999938964844,1966.0999755859375,4.114999771118164,11926.240234375,21.440000534057617,193.8800048828125,477.7885990141116,57.0
2023-03-30,0.5342490077018738,28033.5625,1792.7371826171875,102.13999938964844,1980.300048828125,4.0904998779296875,12013.4697265625,21.940000534057617,195.27999877929688,484.1217718921944,60.0
2023-03-31,0.5384920239448547,28478.484375,1822.0220947265625,102.51000213623047,1969.0,4.104499816894531,12221.91015625,22.1200008392334,207.4600067138672,479.71740476035575,63.0
2023-04-01,0.5147410035133362,28411.03515625,1813.860595703125,102.51000213623047,1969.0,4.104499816894531,12221.91015625,22.1200008392334,207.4600067138672,479.71740476035575,61.0
2023-04-02,0.5189530253410339,28199.30859375,1795.7081298828125,102.51000213623047,1969.0,4.104499816894531,12221.91015625,22.1200008392334,207.4600067138672,479.71740476035575,63.0
2023-04-03,0.49696001410484314,27790.220703125,1810.297119140625,102.08999633789062,1983.9000244140625,4.059500217437744,12189.4501953125,22.059999465942383,194.77000427246094,488.70548544181406,63.0
2023-04-04,0.50347900390625,28168.08984375,1871.005126953125,101.58999633789062,2022.199951171875,3.9835000038146973,12126.330078125,22.969999313354492,192.5800018310547,507.6440188867495,62.0
2023-04-05,0.5062350034713745,28177.984375,1909.114013671875,101.8499984741211,2020.9000244140625,3.997999906539917,11996.8603515625,22.940000534057617,185.52000427246094,505.4777567924101,62.0
2023-04-06,0.5032979846000671,28044.140625,1872.922607421875,101.81999969482422,2011.9000244140625,4.026000022888184,12087.9599609375,22.889999389648438,185.05999755859375,499.72677917939,63.0
2023-04-07,0.5137360095977783,27925.859375,1865.6361083984375,101.81999969482422,2011.9000244140625,4.026000022888184,12087.9599609375,22.889999389648438,185.05999755859375,499.72677917939,64.0
2023-04-08,0.5057160258293152,27947.794921875,1849.4981689453125,101.81999969482422,2011.9000244140625,4.026000022888184,12087.9599609375,22.889999389648438,185.05999755859375,499.72677917939,61.0
2023-04-09,0.5058339834213257,28333.05078125,1859.3878173828125,101.81999969482422,2011.9000244140625,4.026000022888184,12087.9599609375,22.889999389648438,185.05999755859375,499.72677917939,61.0
2023-04-10,0.5183179974555969,29652.98046875,1911.20751953125,102.58000183105469,1989.0999755859375,3.9865000247955322,12084.3603515625,22.8799991607666,184.50999450683594,498.9589773520592,62.0
2023-04-11,0.5175179839134216,30235.05859375,1892.189697265625,102.19999694824219,2004.800048828125,4.024499893188477,12031.8798828125,23.040000915527344,186.7899932861328,498.1488637187636,68.0
2023-04-12,0.5061150193214417,30139.052734375,1920.68212890625,101.5,2010.9000244140625,4.084499835968018,11929.33984375,23.43000030517578,180.5399932861328,492.32466768785747,65.0
2023-04-13,0.5132920145988464,30399.06640625,2012.6346435546875,101.01000213623047,2041.300048828125,4.124000072479248,12166.26953125,23.739999771118164,185.89999389648438,494.98060449861856,61.0
2023-04-14,0.5239930152893066,30485.69921875,2101.635498046875,101.55000305175781,2002.199951171875,4.107500076293945,12123.4697265625,23.309999465942383,185.0,487.4497660334533,68.0
2023-04-15,0.5204439759254456,30318.49609375,2092.466796875,101.55000305175781,2002.199951171875,4.107500076293945,12123.4697265625,23.309999465942383,185.0,487.4497660334533,68.0
2023-04-16,0.5213919878005981,30315.35546875,2120.005859375,101.55000305175781,2002.199951171875,4.107500076293945,12123.4697265625,23.309999465942383,185.0,487.4497660334533,68.0
2023-04-17,0.5111269950866699,29445.044921875,2076.242919921875,102.0999984741211,1994.199951171875,4.065999984741211,12157.7197265625,23.020000457763672,187.0399932861328,490.45744187301074,69.0
2023-04-18,0.532263994216919,30397.552734375,2104.537353515625,101.75,2007.4000244140625,4.0894999504089355,12153.41015625,23.149999618530273,184.30999755859375,490.8668660610522,58.0
2023-04-19,0.4915989935398102,28822.6796875,1936.4034423828125,101.97000122070312,1995.199951171875,4.072000026702881,12157.23046875,23.229999542236328,180.58999633789062,489.9803384302526,63.0
2023-04-20,0.47485798597335815,28245.98828125,1943.09765625,101.83999633789062,2007.5999755859375,4.021999835968018,12059.5595703125,23.170000076293945,162.99000549316406,499.154663715382,52.0
2023-04-21,0.449396014213562,27276.91015625,1849.9998779296875,101.81999969482422,1979.5,3.9800000190734863,12072.4599609375,22.979999542236328,165.0800018310547,497.3618066617026,50.0
2023-04-22,0.47266098856925964,27817.5,1874.2286376953125,101.81999969482422,1979.5,3.9800000190734863,12072.4599609375,22.979999542236328,165.0800018310547,497.3618066617026,53.0
2023-04-23,0.4650160074234009,27591.384765625,1862.06201171875,101.81999969482422,1979.5,3.9800000190734863,12072.4599609375,22.979999542236328,165.0800018310547,497.3618066617026,56.0
2023-04-24,0.4612730145454407,27525.33984375,1842.7574462890625,101.3499984741211,1989.0999755859375,3.953000068664551,12037.2001953125,23.079999923706055,162.5500030517578,503.18743765109997,53.0
2023-04-25,0.46999499201774597,28307.59765625,1866.753662109375,101.86000061035156,1994.0,3.8459999561309814,11799.16015625,22.989999771118164,160.6699981689453,518.4607443433084,53.0
2023-04-26,0.46203699707984924,28422.701171875,1866.564208984375,101.47000122070312,1985.699951171875,3.8499999046325684,11854.349609375,22.829999923706055,153.75,515.7662338595262,56.0
2023-04-27,0.46686801314353943,29473.787109375,1908.786376953125,101.5,1989.9000244140625,3.864500045776367,12142.240234375,22.889999389648438,160.19000244140625,514.9178421123029,59.0
2023-04-28,0.48027101159095764,29340.26171875,1892.5128173828125,101.66999816894531,1990.0999755859375,3.869999885559082,12226.580078125,23.0,164.30999755859375,514.2377349963245,64.0
2023-04-29,0.4784089922904968,29248.48828125,1908.9169921875,101.66999816894531,1990.0999755859375,3.869999885559082,12226.580078125,23.0,164.30999755859375,514.2377349963245,64.0
2023-04-30,0.4723320007324219,29268.806640625,1876.92431640625,101.66999816894531,1990.0999755859375,3.869999885559082,12226.580078125,23.0,164.30999755859375,514.2377349963245,60.0
2023-05-01,0.4649659991264343,28091.568359375,1831.954833984375,102.1500015258789,1983.4000244140625,3.9170000553131104,12212.599609375,22.889999389648438,161.8300018310547,506.35690487768375,63.0
2023-05-02,0.4649510085582733,28680.537109375,1870.789306640625,101.95999908447266,2014.300048828125,3.8480000495910645,12080.509765625,23.350000381469727,160.30999755859375,523.4667419097848,55.0
2023-05-03,0.4634940028190613,29006.30859375,1904.65185546875,101.33999633789062,2028.5999755859375,3.8315000534057617,12025.330078125,23.43000030517578,160.61000061035156,529.4532030040679,64.0
2023-05-04,0.4615730047225952,28847.7109375,1877.7041015625,101.4000015258789,2048.0,3.8499999046325684,11966.400390625,23.940000534057617,161.1999969482422,531.9480651248106,64.0
2023-05-05,0.46779999136924744,29534.384765625,1995.0609130859375,101.20999908447266,2017.4000244140625,3.871500015258789,12235.41015625,23.56999969482422,170.05999755859375,521.0900210416788,61.0
2023-05-06,0.4595490097999573,28904.623046875,1900.2218017578125,101.20999908447266,2017.4000244140625,3.871500015258789,12235.41015625,23.56999969482422,170.05999755859375,521.0900210416788,60.0
2023-05-07,0.45036399364471436,28454.978515625,1873.076416015625,101.20999908447266,2017.4000244140625,3.871500015258789,12235.41015625,23.56999969482422,170.05999755859375,521.0900210416788,64.0
2023-05-08,0.42891499400138855,27694.2734375,1849.042724609375,101.37000274658203,2026.300048828125,3.9179999828338623,12256.919921875,23.489999771118164,171.7899932861328,517.1771459178303,60.0
2023-05-09,0.4298880100250244,27658.775390625,1848.6031494140625,101.63999938964844,2036.199951171875,3.8889999389648438,12179.5498046875,23.479999542236328,169.14999389648438,523.579321966732,51.0
2023-05-10,0.43087300658226013,27621.755859375,1842.4014892578125,101.4800033569336,2030.5,3.828000068664551,12306.4404296875,23.309999465942383,168.5399932861328,530.4336372983314,52.0
2023-05-11,0.42187899351119995,27000.7890625,1796.4906005859375,102.05999755859375,2014.699951171875,3.697499990463257,12328.509765625,22.200000762939453,172.0800018310547,544.8816650083222,52.0
2023-05-12,0.43071800470352173,26804.990234375,1808.019775390625,102.68000030517578,2014.5,3.7165000438690186,12284.740234375,22.020000457763672,167.97999572753906,542.0422376486315,49.0
2023-05-13,0.424903005361557,26784.078125,1796.1148681640625,102.68000030517578,2014.5,3.7165000438690186,12284.740234375,22.020000457763672,167.97999572753906,542.0422376486315,48.0
2023-05-14,0.4258599877357483,26930.638671875,1800.5009765625,102.68000030517578,2014.5,3.7165000438690186,12284.740234375,22.020000457763672,167.97999572753906,542.0422376486315,48.0
2023-05-15,0.42756199836730957,27192.693359375,1817.5499267578125,102.43000030517578,2018.0,3.737499952316284,12365.2099609375,22.100000381469727,166.35000610351562,539.9331172564595,50.0
2023-05-16,0.4414219856262207,27036.650390625,1824.1214599609375,102.55999755859375,1988.4000244140625,3.6545000076293945,12343.0498046875,21.809999465942383,166.52000427246094,544.096325150619,54.0
2023-05-17,0.4485889971256256,27398.802734375,1821.859619140625,102.87999725341797,1980.699951171875,3.743000030517578,12500.5703125,21.81999969482422,173.86000061035156,529.1744416304442,50.0
2023-05-18,0.46029898524284363,26832.208984375,1801.728515625,103.58000183105469,1956.5,3.68149995803833,12688.83984375,21.559999465942383,176.88999938964844,531.4409947847756,51.0
2023-05-19,0.4679819941520691,26890.12890625,1812.5894775390625,103.19999694824219,1978.699951171875,3.7225000858306885,12657.900390625,21.860000610351562,180.13999938964844,531.5513513897802,48.0
2023-05-20,0.46908101439476013,27129.5859375,1820.47802734375,103.19999694824219,1978.699951171875,3.7225000858306885,12657.900390625,21.860000610351562,180.13999938964844,531.5513513897802,48.0
2023-05-21,0.4575499892234802,26753.826171875,1804.5313720703125,103.19999694824219,1978.699951171875,3.7225000858306885,12657.900390625,21.860000610351562,180.13999938964844,531.5513513897802,52.0
2023-05-22,0.46160098910331726,26851.27734375,1817.5347900390625,103.19999694824219,1974.800048828125,3.6740000247955322,12720.7802734375,21.670000076293945,188.8699951171875,537.5068142352633,49.0
2023-05-23,0.46542999148368835,27225.7265625,1854.380615234375,103.48999786376953,1972.4000244140625,3.6414999961853027,12560.25,21.510000228881836,185.77000427246094,541.6449338130644,50.0
2023-05-24,0.45360898971557617,26334.818359375,1800.0999755859375,103.88999938964844,1962.800048828125,3.553499937057495,12484.16015625,21.15999984741211,182.89999389648438,552.3568548177428,50.0
2023-05-25,0.45373401045799255,26476.20703125,1805.9537353515625,104.20999908447266,1943.0999755859375,3.5804998874664307,12698.08984375,20.860000610351562,184.47000122070312,542.689578733901,51.0
2023-05-26,0.4691399931907654,26719.291015625,1828.689697265625,104.20999908447266,1944.0999755859375,3.6735000610351562,12975.6904296875,21.3799991607666,193.1699981689453,529.2227965930969,49.0
2023-05-27,0.4722450077533722,26868.353515625,1831.1182861328125,104.20999908447266,1944.0999755859375,3.6735000610351562,12975.6904296875,21.3799991607666,193.1699981689453,529.2227965930969,48.0
2023-05-28,0.48288899660110474,28085.646484375,1910.9141845703125,104.20999908447266,1944.0999755859375,3.6735000610351562,12975.6904296875,21.3799991607666,193.1699981689453,529.2227965930969,50.0
2023-05-29,0.4941509962081909,27745.884765625,1893.078125,104.20999908447266,1944.0999755859375,3.6735000610351562,12975.6904296875,21.3799991607666,193.1699981689453,529.2227965930969,52.0
2023-05-30,0.5219380259513855,27702.349609375,1901.026611328125,104.16999816894531,1958.0,3.6579999923706055,13017.4296875,21.299999237060547,201.16000366210938,535.2651733416482,51.0
2023-05-31,0.5173860192298889,27219.658203125,1874.1304931640625,104.31999969482422,1963.9000244140625,3.63100004196167,12935.2900390625,21.610000610351562,203.92999267578125,540.8702841416255,51.0
2023-06-01,0.5073170065879822,26819.97265625,1862.201416015625,103.55999755859375,1978.0,3.7065000534057617,13100.98046875,21.950000762939453,207.52000427246094,533.6570812085895,52.0
2023-06-02,0.5253869891166687,27249.58984375,1907.256591796875,104.0199966430664,1952.4000244140625,3.7225000858306885,13240.76953125,21.690000534057617,213.97000122070312,524.4862268360104,50.0
2023-06-03,0.5193510055541992,27075.12890625,1892.4124755859375,104.0199966430664,1952.4000244140625,3.7225000858306885,13240.76953125,21.690000534057617,213.97000122070312,524.4862268360104,53.0
2023-06-04,0.5359110236167908,27119.06640625,1890.5135498046875,104.0199966430664,1952.4000244140625,3.7225000858306885,13240.76953125,21.690000534057617,213.97000122070312,524.4862268360104,52.0
2023-06-05,0.5103939771652222,25760.09765625,1811.828369140625,104.0,1958.0,3.762500047683716,13229.4296875,21.639999389648438,217.61000061035156,520.3986645011184,53.0
2023-06-06,0.5304639935493469,27238.783203125,1884.494873046875,104.12999725341797,1965.5,3.7669999599456787,13276.419921875,21.649999618530273,221.30999755859375,521.7679906819917,44.0
2023-06-07,0.5196279883384705,26345.998046875,1832.39599609375,104.0999984741211,1942.699951171875,3.754499912261963,13104.900390625,21.510000228881836,224.57000732421875,517.4324135225407,53.0
2023-06-08,0.5245460271835327,26508.216796875,1846.3018798828125,103.33999633789062,1963.5999755859375,3.7964999675750732,13238.51953125,22.299999237060547,234.86000061035156,517.2132206918315,50.0
2023-06-09,0.5379170179367065,26480.375,1840.2252197265625,103.55999755859375,1962.199951171875,3.7890000343322754,13259.1396484375,22.270000457763672,244.39999389648438,517.867493637452,50.0
2023-06-10,0.5081989765167236,25851.240234375,1752.384765625,103.55999755859375,1962.199951171875,3.7890000343322754,13259.1396484375,22.270000457763672,244.39999389648438,517.867493637452,49.0
2023-06-11,0.5212209820747375,25940.16796875,1753.415283203125,103.55999755859375,1962.199951171875,3.7890000343322754,13259.1396484375,22.270000457763672,244.39999389648438,517.867493637452,47.0
2023-06-12,0.52572101354599,25902.5,1742.5286865234375,103.62999725341797,1955.300048828125,3.750499963760376,13461.919921875,22.079999923706055,249.8300018310547,521.3438388805305,47.0
2023-06-13,0.5200859904289246,25918.728515625,1739.03759765625,103.33999633789062,1944.5999755859375,3.8285000324249268,13573.3203125,21.739999771118164,258.7099914550781,507.9273760262321,45.0
2023-06-14,0.4802199900150299,25124.67578125,1650.519287109375,103.01000213623047,1955.300048828125,3.865999937057495,13626.48046875,21.969999313354492,256.7900085449219,505.7682567673166,46.0
2023-06-15,0.4801180064678192,25576.39453125,1665.519775390625,102.12000274658203,1957.800048828125,3.8965001106262207,13782.8203125,21.940000534057617,255.89999389648438,502.45091575616044,41.0
2023-06-16,0.47574299573898315,26327.462890625,1716.6688232421875,102.30000305175781,1958.4000244140625,3.884500026702881,13689.5703125,22.18000030517578,260.5400085449219,504.1575520534441,47.0
2023-06-17,0.47979000210762024,26510.67578125,1727.2041015625,102.30000305175781,1958.4000244140625,3.884500026702881,13689.5703125,22.18000030517578,260.5400085449219,504.1575520534441,47.0
2023-06-18,0.4875729978084564,26336.212890625,1720.5775146484375,102.30000305175781,1958.4000244140625,3.884500026702881,13689.5703125,22.18000030517578,260.5400085449219,504.1575520534441,49.0
2023-06-19,0.49339500069618225,26851.029296875,1737.659423828125,102.30000305175781,1958.4000244140625,3.884500026702881,13689.5703125,22.18000030517578,260.5400085449219,504.1575520534441,47.0
2023-06-20,0.4928700029850006,28327.48828125,1792.1199951171875,102.54000091552734,1935.5,3.878499984741211,13667.2900390625,21.260000228881836,274.45001220703125,499.03313332851394,49.0
2023-06-21,0.500694990158081,30027.296875,1891.0072021484375,102.06999969482422,1933.300048828125,3.9110000133514404,13502.2001953125,20.84000015258789,259.4599914550781,494.32371317519596,59.0
2023-06-22,0.4949750006198883,29912.28125,1872.9429931640625,102.38999938964844,1912.699951171875,3.8884999752044678,13630.6103515625,20.530000686645508,264.6099853515625,491.8863220698105,65.0
2023-06-23,0.4965659976005554,30695.46875,1892.862060546875,102.9000015258789,1919.0999755859375,3.805999994277954,13492.51953125,20.579999923706055,256.6000061035156,504.2301572441318,65.0
2023-06-24,0.48731300234794617,30548.6953125,1876.0596923828125,102.9000015258789,1919.0999755859375,3.805999994277954,13492.51953125,20.579999923706055,256.6000061035156,504.2301572441318,62.0
2023-06-25,0.4902769923210144,30480.26171875,1900.506103515625,102.9000015258789,1919.0999755859375,3.805999994277954,13492.51953125,20.579999923706055,256.6000061035156,504.2301572441318,64.0
2023-06-26,0.47933200001716614,30271.130859375,1859.432861328125,102.69000244140625,1923.699951171875,3.7864999771118164,13335.7802734375,20.899999618530273,241.0500030517578,508.0417173643278,55.0
2023-06-27,0.4838399887084961,30688.1640625,1889.703369140625,102.48999786376953,1914.0,3.7815001010894775,13555.669921875,20.979999542236328,250.2100067138672,506.1483402971648,59.0
2023-06-28,0.46522200107574463,30086.24609375,1827.97119140625,102.91000366210938,1912.300048828125,3.7204999923706055,13591.75,20.84000015258789,256.239990234375,513.990069278204,62.0
2023-06-29,0.4747219979763031,30445.3515625,1852.227294921875,103.33999633789062,1909.199951171875,3.677500009536743,13591.330078125,20.719999313354492,257.5,519.1570214060661,54.0
2023-06-30,0.4740369915962219,30477.251953125,1933.18896484375,102.91000366210938,1921.0999755859375,3.740999937057495,13787.919921875,20.889999389648438,261.7699890136719,513.5257973559309,56.0
2023-07-01,0.47352200746536255,30590.078125,1924.56591796875,102.91000366210938,1921.0999755859375,3.740999937057495,13787.919921875,20.889999389648438,261.7699890136719,513.5257973559309,59.0
2023-07-02,0.4844929873943329,30620.76953125,1937.4383544921875,102.91000366210938,1921.0999755859375,3.740999937057495,13787.919921875,20.889999389648438,261.7699890136719,513.5257973559309,63.0
2023-07-03,0.4895470142364502,31156.439453125,1955.38916015625,102.98999786376953,1921.699951171875,3.7790000438690186,13816.76953125,21.010000228881836,279.82000732421875,508.5207538670465,62.0
2023-07-04,0.48784199357032776,30777.58203125,1936.633544921875,102.98999786376953,1921.699951171875,3.7790000438690186,13816.76953125,21.010000228881836,279.82000732421875,508.5207538670465,64.0
2023-07-05,0.4782719910144806,30514.166015625,1910.5880126953125,103.37000274658203,1919.5999755859375,3.753499984741211,13791.650390625,21.209999084472656,282.4800109863281,511.4160072970631,61.0
2023-07-06,0.4637390077114105,29909.337890625,1848.636474609375,103.16999816894531,1908.699951171875,3.7200000286102295,13679.0400390625,20.829999923706055,276.5400085449219,513.0913807774766,56.0
2023-07-07,0.468764990568161,30342.265625,1870.6025390625,102.2699966430664,1926.199951171875,3.7669999599456787,13660.7197265625,21.18000030517578,274.42999267578125,511.33527253864145,55.0
2023-07-08,0.4706439971923828,30292.541015625,1865.53955078125,102.2699966430664,1926.199951171875,3.7669999599456787,13660.7197265625,21.18000030517578,274.42999267578125,511.33527253864145,58.0
2023-07-09,0.4685499966144562,30171.234375,1863.009765625,102.2699966430664,1926.199951171875,3.7669999599456787,13660.7197265625,21.18000030517578,274.42999267578125,511.33527253864145,55.0
